,KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,End_date,k1,k2,h,target_cell,N_finetune
121,11.807079184346083,0.14634146341463414,0.6407982261640798,0.023503208451892993,0.3215077605321508,1.039911308203991,9.858343549292641,0.5188470066518847,2.8869179600886916,0.31365059776956333,0.012403926377763812,0.09169248093073572,Sep17-19:0,0.9,1.3,5,BOB,500
122,11.844066259073312,0.08869179600886919,0.42350332594235035,0.026515527583250136,0.2793791574279379,0.8337028824833703,9.911977996211208,0.43902439024390244,2.6407982261640797,0.31369162676966217,0.00573903988874761,0.021027831069805325,Sep17-19:1,0.9,1.3,6,BOB,500
123,11.844707182664301,0.07982261640798226,0.3902439024390244,0.02648530231659366,0.28159645232815966,0.8004434589800443,9.910098732405293,0.43015521064301554,2.6031042128603104,0.313716384100225,0.0006213524140076243,0.007942627356918124,Sep17-19:2,0.9,1.3,7,BOB,500
124,11.84483844504388,0.07982261640798226,0.38802660753880264,0.02653586589345998,0.2860310421286031,0.8004434589800443,9.910273654769346,0.43237250554323725,2.611973392461197,0.31371553172875677,0.0040206924219590694,0.007978132856268572,Sep17-19:3,0.9,1.3,8,BOB,500
125,11.84423867482568,0.07982261640798226,0.38802660753880264,0.026463012099077005,0.2860310421286031,0.802660753880266,9.909199579126373,0.43237250554323725,2.611973392461197,0.31372704894842035,0.0015563742247340377,0.007682881974432539,Sep17-19:4,0.9,1.3,9,BOB,500
126,1.8706744918207372,2.507760532150776,5.199556541019955,0.5435818428311805,2.6075388026607538,5.4567627494456765,1.1670073129394207,3.199556541019956,6.729490022172949,0.170689299415452,0.686857544901822,0.601147875168502,Sep17-19:5,0.9,1.7,1,BOB,500
127,2.2568021482414258,2.436807095343681,5.082039911308204,0.10846682224641599,2.52549889135255,5.376940133037694,1.4481466482138223,3.152993348115299,6.720620842572062,0.18771031281246578,0.6295974464270001,0.5909239565738251,Sep17-19:6,0.9,1.7,2,BOB,500
128,8.18606562519285,1.3237250554323725,3.6541019955654104,0.020014482204996905,1.41019955654102,3.8492239467849223,6.556024327560089,2.2328159645232817,5.787139689578714,0.27613346977653336,0.1612517362781825,0.33973029684371314,Sep17-19:7,0.9,1.7,3,BOB,500
129,11.373658691898418,0.36585365853658536,1.3680709534368072,0.022489508716039112,0.49223946784922396,1.6674057649667406,9.450926400920132,0.8514412416851441,3.6164079822616406,0.3103134366230645,0.015415653688069223,0.16819570309213144,Sep17-19:8,0.9,1.7,4,BOB,500
130,11.806930696092001,0.14412416851441243,0.6363636363636364,0.023504253313164025,0.3215077605321508,1.0354767184035476,9.858223856558546,0.5188470066518847,2.8869179600886916,0.31365028596579975,0.012412880940088118,0.09169967291202563,Sep17-19:9,0.9,1.7,5,BOB,500
131,11.844066250086358,0.08647450110864745,0.42350332594235035,0.026515525674772236,0.2771618625277162,0.8337028824833703,9.91197798129082,0.43902439024390244,2.6407982261640797,0.31369162670316963,0.004201899963265549,0.021028310663991436,Sep17-19:10,0.9,1.7,6,BOB,500
132,11.844707158346662,0.07982261640798226,0.3902439024390244,0.026485339103110638,0.28159645232815966,0.8004434589800443,9.910098808279463,0.43015521064301554,2.6031042128603104,0.31371638299287474,5.067506193239203e-06,0.007942627356918124,Sep17-19:11,0.9,1.7,7,BOB,500
133,11.844838446629813,0.07982261640798226,0.38802660753880264,0.02653586577069118,0.2860310421286031,0.8004434589800443,9.910273646393174,0.43237250554323725,2.611973392461197,0.31371553171121785,0.002149984453408682,0.007978132856268572,Sep17-19:12,0.9,1.7,8,BOB,500
134,11.844238670596527,0.07982261640798226,0.38802660753880264,0.026463012344307025,0.2860310421286031,0.802660753880266,9.909199582662602,0.43237250554323725,2.611973392461197,0.31372704895477577,0.0015912510071291724,0.007682881974432539,Sep17-19:13,0.9,1.7,9,BOB,500
135,1.4301536512084123,2.7494456762749446,5.17960088691796,0.6873471798260199,2.9445676274944566,5.421286031042128,0.7446084164266171,3.079822616407982,6.467849223946785,0.13178744922018143,0.6223225161611343,0.6022743300684263,Sep17-19:14,1.3,0.1,1,BOB,500
136,1.9265146596138334,2.6430155210643016,5.093126385809312,0.28169374525322277,2.8536585365853657,5.3503325942350335,1.1116647418505456,3.0044345898004434,6.443458980044346,0.16209551179787388,0.5289706979209398,0.5836050768825187,Sep17-19:15,1.3,0.1,2,BOB,500
137,8.192546447999197,1.5432372505543237,3.6607538802660753,0.01357504358760341,1.6430155210643016,3.915742793791574,6.526172762622844,2.2261640798226163,5.576496674057649,0.27415387584927314,0.10336236417377606,0.3322871525375943,Sep17-19:16,1.3,0.1,3,BOB,500
138,11.398548582936337,0.3968957871396896,1.3680709534368072,0.02287513615925391,0.5521064301552107,1.6851441241685143,9.470455720311815,0.8580931263858093,3.529933481152993,0.31019471314870084,0.01157179613803879,0.16524156881179475,Sep17-19:17,1.3,0.1,4,BOB,500
