,Gene,Rep1_frameshift,Pred_frameshift_inDephi,Rep_delratio,Pred_delratio_inDephi,iDp_delratio,Pred_frameshift_inDecay,Pred_delratio_inDecay
952,Oligo41503,0.5921884,0.6850833266231987,0.93193567,0.9566565640500065,0.9590671261001443,0.664705,0.9443608
953,Oligo10687,0.563956,0.587701661511995,0.87098897,0.8570229814662756,0.8593614122073764,0.64285123,0.85350865
954,Oligo18108,0.8165731,0.935484221202648,0.8808989,0.9423248889964938,0.9431690277548975,0.89664686,0.91153055
955,Oligo3660,0.85159963,0.8273139155791761,0.95660424,0.9503029296420689,0.9550717252291433,0.8372573,0.9544745
956,Oligo930,0.86317563,0.7237732390471441,0.38730696,0.8501659440977107,0.854882178314777,0.91113234,0.33119726
957,Oligo2894,0.9195052,0.8299382378590847,0.851739,0.8382105678065377,0.8411733559035204,0.8500601,0.9410696
958,Oligo17182,0.8710625,0.8789589657377401,0.7690871,0.8429954743945458,0.8482492720199316,0.92615414,0.79750544
959,Oligo28832,0.96301717,0.9508295436526217,0.9406811,0.9215874706036591,0.9222585043419516,0.90748394,0.9606846
960,Oligo2761,0.7714146,0.7353768718017996,0.8695545,0.8544063873281137,0.8580944237694047,0.75608,0.8411633
961,Oligo3612,0.9155717,0.8748424774706179,0.9633771,0.8446711851534936,0.8464674164374927,0.87141585,0.8586938
962,Oligo24480,0.3352847,0.12846235794038077,0.8746674,0.9391345187931617,0.9401631781858015,0.26799914,0.9459373
963,Oligo21941,0.43013698,0.664758718846381,0.9619662,0.9318441826931193,0.9341620853130586,0.6210601,0.9292952
964,Oligo43138,0.62122595,0.7546664653043086,0.7529735,0.8139702660901342,0.8157770438201928,0.78181237,0.76431966
965,Oligo15284,0.68704456,0.6880986981322118,0.9089069,0.8961837602758719,0.9007752846327618,0.67354727,0.88507086
966,Oligo4154,0.34733582,0.5258926430366727,0.87508285,0.911314764995993,0.9136941277908411,0.37477958,0.8821032
967,Oligo47888,0.8672941,0.6610925758294396,0.8642935,0.8967085674528751,0.8994447866435391,0.7716119,0.8013798
968,Oligo76392,0.6080211,0.6230497969675136,0.93057203,0.953180393959882,0.9557465838788873,0.6216079,0.9620973
969,Oligo34099,0.8874749,0.855890137098349,0.8737442,0.8077603481141672,0.8173534373952299,0.8448251,0.89756733
970,Oligo34233,0.6739353,0.5685052228613386,0.70902896,0.8792842451363102,0.8823283542646797,0.6986199,0.68661153
971,Oligo45052,0.87211317,0.954822454560144,0.82716656,0.9423565280516655,0.9430657550790588,0.8564482,0.91818446
972,Oligo34385,0.89083666,0.7719057152416489,0.32525897,0.848513440066816,0.8544376192472796,0.88615924,0.4059647
973,Oligo30420,0.4636051,0.5356241710890448,0.87066543,0.8698865850617394,0.8753152175076971,0.5816467,0.7374103
974,Oligo1548,0.8101997,0.9433359510861543,0.993845,0.9813991894788766,0.9820409368537567,0.7793955,0.9795664
975,Oligo15840,0.87405217,0.7774624816362242,0.6126088,0.8142188714636438,0.8215043097370816,0.84716326,0.5306884
976,Oligo49874,0.88748497,0.7433753159295756,0.60770154,0.8388169519387908,0.841877672674969,0.8741141,0.51002055
977,Oligo23459,0.8240473,0.8558938854062197,0.65607375,0.8029519217008794,0.8043053704850827,0.8688554,0.5803187
978,Oligo44105,0.81620777,0.7325361900781604,0.5475711,0.8734027355773708,0.879243409618078,0.8442636,0.5375522
979,Oligo1616,0.9679368,0.9926788721080586,0.8674102,0.8392939224622877,0.8394978343003046,0.943732,0.9190102
980,Oligo27136,0.8081751,0.7598073655948727,0.845832,0.8466042164891756,0.8504303669856682,0.7573147,0.81141895
981,Oligo5473,0.9096464,0.9706390708146782,0.9332169,0.9494269431364575,0.949599842780642,0.8749872,0.96505785
982,Oligo14935,0.96510065,0.9582015562171323,0.97688293,0.9465378868304476,0.9468676766380304,0.9209789,0.9834671
983,Oligo47468,0.71233916,0.7087370478420776,0.8193288,0.8628511216228542,0.8662147411181583,0.7859248,0.799662
984,Oligo12868,0.6991542,0.6956639414469851,0.8236005,0.8200033195513704,0.8238731848442932,0.670444,0.78710127
985,Oligo23313,0.65430915,0.569674400493771,0.9114107,0.9518130676166063,0.9550969415992644,0.59834003,0.95651287
986,Oligo1614,0.1706176,0.11221060057004432,0.96412975,0.9491591513263067,0.9498562464785123,0.23220365,0.9647697
987,Oligo45989,0.7238568,0.688093573392488,0.86553234,0.8235813661661012,0.8272505844514332,0.72223973,0.8366355
988,Oligo42592,0.9193707,0.8622734806495698,0.9370698,0.9182450698466343,0.9187879038818606,0.80536354,0.9670566
989,Oligo51116,0.8003525,0.6664552398078589,0.8547818,0.8974622815308098,0.9008332403877922,0.6781111,0.77463496
990,Oligo18462,0.76799303,0.8164702551978296,0.78554714,0.7955095190868208,0.7985039575356424,0.8503261,0.6609951
991,Oligo49879,0.79858446,0.7584142140960547,0.8640519,0.8950695084454708,0.8991005553175907,0.8212965,0.75693643
992,Oligo41219,0.714324,0.5781068087805061,0.56679183,0.8456102473973902,0.8471582635087223,0.5450583,0.7746596
993,Oligo25927,0.9114476,0.838549575021899,0.8171599,0.8547359528747707,0.8592296932389663,0.84309506,0.8578868
